1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,http://www.imdb.com/title/tt1147
2,Jumanji (1995),Adventure|Children|Fantasy,http://www.imdb.com/title/tt1134
3,Grumpier Old Men (1995),Comedy|Romance,http://www.imdb.com/title/tt1132
4,Waiting to Exhale (1995),Comedy|Drama|Romance,http://www.imdb.com/title/tt1148
5,Father of the Bride Part II (1995),Comedy,http://www.imdb.com/title/tt1130
6,Heat (1995),Action|Crime|Thriller,http://www.imdb.com/title/tt1132
7,Sabrina (1995),Comedy|Romance,http://www.imdb.com/title/tt1143
8,Tom and Huck (1995),Adventure|Children,http://www.imdb.com/title/tt1123
9,Sudden Death (1995),Action,http://www.imdb.com/title/tt1145
10,GoldenEye (1995),Action|Adventure|Thriller,http://www.imdb.com/title/tt1131
11,"American President, The (1995)",Comedy|Drama|Romance,http://www.imdb.com/title/tt1123
12,Dracula: Dead and Loving It (1995),Comedy|Horror,http://www.imdb.com/title/tt1128
13,Balto (1995),Adventure|Animation|Children,http://www.imdb.com/title/tt1124
14,Nixon (1995),Drama,http://www.imdb.com/title/tt1139
15,Cutthroat Island (1995),Action|Adventure|Romance,http://www.imdb.com/title/tt1127
16,Casino (1995),Crime|Drama,http://www.imdb.com/title/tt1126
17,Sense and Sensibility (1995),Drama|Romance,http://www.imdb.com/title/tt1143
18,Four Rooms (1995),Comedy,http://www.imdb.com/title/tt1131
19,Ace Ventura: When Nature Calls (1995),Comedy,http://www.imdb.com/title/tt1122
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,http://www.imdb.com/title/tt1138
21,Get Shorty (1995),Comedy|Crime|Thriller,http://www.imdb.com/title/tt1131
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,http://www.imdb.com/title/tt1127
23,Assassins (1995),Action|Crime|Thriller,http://www.imdb.com/title/tt1124
24,Powder (1995),Drama|Sci-Fi,http://www.imdb.com/title/tt1141
25,Leaving Las Vegas (1995),Drama|Romance,http://www.imdb.com/title/tt1136
26,Othello (1995),Drama,http://www.imdb.com/title/tt1140
27,Now and Then (1995),Children|Drama,http://www.imdb.com/title/tt1140
28,Persuasion (1995),Drama|Romance,http://www.imdb.com/title/tt1141
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,http://www.imdb.com/title/tt1126
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,http://www.imdb.com/title/tt1150
31,Dangerous Minds (1995),Drama,http://www.imdb.com/title/tt1127
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,http://www.imdb.com/title/tt1147
33,Wings of Courage (1995),Adventure|Romance|IMAX,http://www.imdb.com/title/tt1149
34,Babe (1995),Children|Drama,http://www.imdb.com/title/tt1124
35,Carrington (1995),Drama|Romance,http://www.imdb.com/title/tt1126
36,Dead Man Walking (1995),Crime|Drama,http://www.imdb.com/title/tt1128
37,Across the Sea of Time (1995),Documentary|IMAX,http://www.imdb.com/title/tt1122
38,It Takes Two (1995),Children|Comedy,http://www.imdb.com/title/tt1134
39,Clueless (1995),Comedy|Romance,http://www.imdb.com/title/tt1126
40,"Cry, the Beloved Country (1995)",Drama,http://www.imdb.com/title/tt1127
41,Richard III (1995),Drama|War,http://www.imdb.com/title/tt1142
42,Dead Presidents (1995),Action|Crime|Drama,http://www.imdb.com/title/tt1128
43,Restoration (1995),Drama,http://www.imdb.com/title/tt1142
44,Mortal Kombat (1995),Action|Adventure|Fantasy,http://www.imdb.com/title/tt1138
45,To Die For (1995),Comedy|Drama|Thriller,http://www.imdb.com/title/tt1146
46,How to Make an American Quilt (1995),Drama|Romance,http://www.imdb.com/title/tt1133
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,http://www.imdb.com/title/tt1143
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,http://www.imdb.com/title/tt1141
49,When Night Is Falling (1995),Drama|Romance,http://www.imdb.com/title/tt1149
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,http://www.imdb.com/title/tt1148
51,Guardian Angel (1994),Action|Drama|Thriller,http://www.imdb.com/title/tt1099
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,http://www.imdb.com/title/tt1138
53,Lamerica (1994),Adventure|Drama,http://www.imdb.com/title/tt1102
54,"Big Green, The (1995)",Children|Comedy,http://www.imdb.com/title/tt1124
55,Georgia (1995),Drama,http://www.imdb.com/title/tt1131
56,Kids of the Round Table (1995),Adventure|Children|Fantasy,http://www.imdb.com/title/tt1135
57,Home for the Holidays (1995),Drama,http://www.imdb.com/title/tt1133
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,http://www.imdb.com/title/tt1108
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,http://www.imdb.com/title/tt1127
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,http://www.imdb.com/title/tt1134
61,Eye for an Eye (1996),Drama|Thriller,http://www.imdb.com/title/tt1162
62,Mr. Holland's Opus (1995),Drama,http://www.imdb.com/title/tt1138
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,http://www.imdb.com/title/tt1161
64,Two if by Sea (1996),Comedy|Romance,http://www.imdb.com/title/tt1180
65,Bio-Dome (1996),Comedy,http://www.imdb.com/title/tt1156
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,http://www.imdb.com/title/tt1168
67,Two Bits (1995),Drama,http://www.imdb.com/title/tt1147
68,French Twist (Gazon maudit) (1995),Comedy|Romance,http://www.imdb.com/title/tt1131
69,Friday (1995),Comedy,http://www.imdb.com/title/tt1131
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,http://www.imdb.com/title/tt1163
71,Fair Game (1995),Action,http://www.imdb.com/title/tt1130
72,Kicking and Screaming (1995),Comedy|Drama,http://www.imdb.com/title/tt1135
73,"Misérables, Les (1995)",Drama|War,http://www.imdb.com/title/tt1138
74,Bed of Roses (1996),Drama|Romance,http://www.imdb.com/title/tt1156
75,Big Bully (1996),Comedy|Drama,http://www.imdb.com/title/tt1156
76,Screamers (1995),Action|Sci-Fi|Thriller,http://www.imdb.com/title/tt1143
77,Nico Icon (1995),Documentary,http://www.imdb.com/title/tt1139
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,http://www.imdb.com/title/tt1127
79,"Juror, The (1996)",Drama|Thriller,http://www.imdb.com/title/tt1167
